id_cegado;nombre;descripcion;actor;entradas_salidas;precondicion_postcondicion;prioridad_moscow;criterio_verificacion
R-011;Histórico de producción por finca;El sistema debe mantener un histórico por finca con el conteo de racimos y el peso promedio informados y con el peso neto efectivamente recibido, de modo que pueda observarse la evolución de la producción entre períodos sin incorporar datos personales del productor.;Técnico de extractora / Administración;Entrada: estimaciones informadas por la finca y pesos netos de las entregas del período. Salida: serie histórica por finca con la variación entre períodos.;Precondición: la finca tiene al menos dos períodos con datos registrados. | Postcondición: la serie queda disponible para consulta y no contiene datos personales.;Could;Con dos períodos registrados, el sistema muestra para la finca el conteo de racimos, el peso promedio y el peso neto de cada período y la variación entre ambos, sin campos de identificación personal.
R-012;Registro de peso promedio de racimos por la hacienda;El sistema debe permitir a la hacienda registrar el peso promedio de los racimos cosechados, para que la extractora lleve un histórico de producción.;Hacienda / productor;Entrada: peso promedio de racimos. Salida: registro de peso promedio vinculado a la finca y fecha.;Precondición: la hacienda dispone del peso promedio estimado. | Postcondición: el dato queda incorporado al histórico de la finca.;Should;El sistema mantiene un histórico consultable de peso promedio de racimos por finca y por fecha.
R-013;Registro de calificación de tamaño de fruta en el tiquete;El sistema debe incluir en el tiquete la calificación de tamaño de la fruta como grande, mediana o pequeña.;Sistema interno de la empresa;Entrada: calificación de tamaño registrada en pista. Salida: campo de calificación de tamaño en el tiquete.;Precondición: la fruta fue calificada por tamaño en pista. | Postcondición: el tiquete muestra la calificación de tamaño correspondiente.;Must;El tiquete generado muestra una de las tres categorías de tamaño (grande, mediana, pequeña) para cada lote.
R-014;Cálculo del peso neto a partir de la tara de salida;El sistema debe registrar el peso de salida del vehículo en la báscula como tara y calcular el peso neto de fruta como la diferencia entre el peso bruto y la tara.;Basculero;Entrada: peso bruto registrado y peso de salida. Salida: tara y peso neto calculados.;Precondición: la recepción tiene peso bruto y el vehículo retorna a báscula. | Postcondición: el peso neto queda disponible para la emisión del ticket.;Must;Con un peso bruto de 20 000 kg y un peso de salida de 7 500 kg, el sistema calcula y conserva un peso neto de 12 500 kg en la recepción.
R-015;Proyección de recepción frente a la capacidad de las extractoras;El sistema debe consolidar las estimaciones de cosecha informadas por las fincas para un período y compararlas con la capacidad de procesamiento declarada de cada extractora, señalando el excedente y permitiendo redistribuirlo entre las plantas con capacidad disponible.;Administración de extractora;Entrada: estimaciones por finca del período y capacidad de procesamiento por planta. Salida: proyección de recepción, excedente identificado y propuesta de distribución.;Precondición: existen estimaciones del período y capacidades registradas por planta. | Postcondición: queda registrada la asignación de fruta por planta.;Should;Si la proyección de una planta supera su capacidad configurada, el sistema muestra el excedente en toneladas y permite reasignarlo a otra planta cuya capacidad restante lo admita.
R-016;Captura del peso bruto en la báscula de ingreso;El sistema debe registrar el peso bruto del vehículo cargado obtenido en la báscula de ingreso y asociarlo a la recepción abierta correspondiente.;Basculero;Entrada: identificador de recepción y peso bruto en kilogramos. Salida: recepción con peso bruto registrado.;Precondición: existe una recepción abierta sin peso bruto. | Postcondición: el peso bruto queda asociado a la recepción antes de la descarga.;Must;Registrado un peso bruto sobre una recepción abierta, el valor queda asociado a esa recepción y un segundo registro sobre la misma recepción se conserva como corrección con su valor anterior.
R-017;Registro de los indicadores de defecto de la entrega;El sistema debe registrar en la calificación de cada entrega los indicadores de fruta verde, fruta sobremadura, fruta malformada y pedúnculos largos.;Técnico de extractora;Entrada: valores de los cuatro indicadores de defecto. Salida: calificación detallada asociada a la recepción.;Precondición: la carga fue evaluada en la pista de descarga. | Postcondición: los cuatro indicadores quedan disponibles para el ticket y para consulta histórica.;Should;Una calificación guardada conserva los cuatro indicadores y permite recuperarlos asociados a la recepción y a su fecha.
R-018;Registro de devolución de fruta rechazada;El sistema debe permitir registrar la devolución de la fruta rechazada en el mismo vehículo que la transportó.;Basculero / Operarios de pista;Entrada: identificación del vehículo y de la fruta rechazada. Salida: registro de devolución vinculado al vehículo.;Precondición: se determinó que la fruta debe ser rechazada. | Postcondición: la devolución queda registrada y el vehículo regresa a báscula.;Must;Cada rechazo genera un registro de devolución asociado al vehículo correspondiente.
R-019;Captura de datos de procedencia del vehículo;El sistema debe permitir registrar, junto al pesaje, los datos de procedencia: finca de origen, dueño y chofer.;Basculero;Entrada: nombre de finca, nombre de dueño, nombre de chofer. Salida: registro asociado al ticket del vehículo.;Precondición: el vehículo está siendo pesado. | Postcondición: los datos de procedencia quedan vinculados al registro de pesaje.;Must;Cada registro de pesaje contiene finca, dueño y chofer capturados por el basculero.
R-020;Emisión del ticket de pesaje;El sistema debe emitir un ticket de pesaje que contenga peso bruto, peso tara, peso neto, nombre del productor, finca, transportista, placa del vehículo, fecha y hora de ingreso y la sección de calificación de la fruta.;Basculero / Técnico de extractora;Entrada: recepción con pesos completos y calificación registrada. Salida: ticket de pesaje con los nueve campos.;Precondición: la recepción tiene peso neto calculado y calificación registrada. | Postcondición: el ticket queda emitido y vinculado de forma permanente a la recepción.;Must;El ticket emitido presenta los nueve campos declarados y el sistema impide emitirlo cuando falta el peso neto o la calificación.
R-021;Excepción de recepción limitada al día de la capacitación;El sistema debe permitir registrar una excepción que autorice recibir fruta que no cumple los indicadores únicamente en la fecha de la capacitación y para el productor participante, y debe impedir su aplicación en fechas posteriores.;Técnico de extractora;Entrada: capacitación registrada, productor participante y fecha. Salida: excepción vigente solo para esa fecha y ese productor.;Precondición: existe una capacitación programada con productor asignado. | Postcondición: la excepción queda vinculada exclusivamente a la fecha declarada.;Could;Registrada una excepción para el 10 de julio, una entrega del mismo productor el 11 de julio que incumple los indicadores no recibe la excepción y se procesa como devolución.
R-022;Registro de conteo de racimos por parte de la hacienda;El sistema debe permitir a la hacienda subir el conteo de racimos cosechados como parte de la información compartida con la extractora.;Hacienda / productor;Entrada: número de racimos cosechados. Salida: registro de conteo de racimos vinculado a la finca.;Precondición: la hacienda cuenta con el conteo de racimos del día. | Postcondición: el conteo queda registrado y disponible para la extractora.;Must;El sistema almacena un valor de conteo de racimos para cada registro de cosecha subido por la hacienda.
R-023;Registro de peso de salida;El sistema debe permitir registrar el peso de salida del vehículo cuando regresa a báscula tras una devolución de fruta rechazada.;Basculero;Entrada: peso de salida medido. Salida: registro de peso de salida asociado al vehículo.;Precondición: el vehículo con fruta rechazada regresa a la báscula. | Postcondición: el peso de salida queda almacenado.;Must;Todo vehículo con fruta rechazada tiene un peso de salida registrado en el sistema.
R-024;Clasificación de madurez del racimo por desprendimiento;El sistema debe estimar el estado de madurez de un racimo a partir de una fotografía de su parte basal, empleando el conteo de frutos desprendidos como criterio y aplicando el umbral correspondiente a la variedad del lote. El sistema no debe emplear el color del fruto como criterio de clasificación.;Técnico de la extractora / Cosechador;Entrada: fotografía de la parte basal del racimo y variedad del lote. Salida: estado estimado (verde, maduro, sobremaduro) con nivel de confianza y explicación.;Precondición: el lote tiene variedad asignada. | Postcondición: la estimación queda asociada al racimo, el lote y la fecha.;Must;"Para híbrido, menos de 5 frutos desprendidos se clasifica como verde y 5 o más como maduro; para guineensis el umbral aplicado es 3."
R-025;Cálculo automático de peso neto;El sistema debe calcular automáticamente el peso neto de la fruta a partir del peso bruto y el peso tara registrados.;Sistema interno de la empresa;Entrada: peso bruto, peso tara. Salida: peso neto calculado.;Precondición: se registraron el peso bruto y el peso tara. | Postcondición: el peso neto queda calculado y almacenado.;Must;El peso neto mostrado equivale siempre a la diferencia entre el peso bruto y el peso tara registrados.
R-026;Devolución de la carga rechazada y cierre en báscula;El sistema debe registrar la devolución de la fruta rechazada en el mismo vehículo que la transportó, exigiendo el peso de salida en báscula y la emisión del tiquete correspondiente antes de cerrar la recepción.;Basculero / Técnico de extractora;Entrada: recepción marcada como rechazada y peso de salida. Salida: recepción cerrada con estado devuelta y tiquete emitido.;Precondición: la carga está marcada como rechazada. | Postcondición: queda registrado el cierre de la devolución con su tiquete.;Must;Una recepción rechazada no puede cerrarse mientras no se registren el peso de salida y la emisión del tiquete de devolución.
R-027;Emisión de tiquete de devolución;El sistema debe generar un tiquete correspondiente cuando un vehículo sale con fruta rechazada.;Basculero;Entrada: datos de pesaje de salida. Salida: tiquete de devolución impreso o generado.;Precondición: el peso de salida fue registrado. | Postcondición: el tiquete de devolución queda emitido.;Must;El sistema emite un tiquete cada vez que se registra un peso de salida por devolución.
R-028;Calificación del tamaño de la fruta;El sistema debe registrar en la calificación de la entrega una única categoría de tamaño de fruta entre grande, mediana y pequeña.;Técnico de extractora;Entrada: categoría de tamaño seleccionada. Salida: calificación de la entrega con el tamaño registrado.;Precondición: existe una recepción evaluada en la pista. | Postcondición: la categoría queda almacenada en la calificación de la entrega.;Should;Guardada la calificación, la entrega conserva exactamente una de las tres categorías y el sistema no admite dos categorías simultáneas.
R-029;Rechazo por malformación superior al 30 por ciento;El sistema debe marcar la fruta como no recibida cuando el porcentaje de malformación evaluado supere el 30 por ciento.;Técnico de extractora;Entrada: porcentaje de malformación evaluado. Salida: resultado de recepción o de rechazo con su motivo.;Precondición: existe una evaluación de malformación sobre la carga. | Postcondición: la regla queda aplicada y el motivo registrado.;Must;"Con un 30,5 % de malformación el sistema marca la fruta como no recibida; con 30 % o menos permite continuar la recepción."
R-030;Registro de cosecha diaria desde la hacienda;El sistema debe permitir que la hacienda registre, mediante una aplicación móvil, la cosecha realizada cada día.;Hacienda / productor;Entrada: datos de cosecha diaria. Salida: registro de cosecha almacenado en el sistema.;Precondición: la hacienda realizó la cosecha del día. | Postcondición: el registro de cosecha queda disponible en el sistema.;Must;Cada día en que la hacienda registra cosecha, el sistema almacena un registro correspondiente.
R-031;Registro de pesaje bruto en báscula;El sistema debe permitir registrar el peso bruto del vehículo al ingresar al centro de acopio, tomado por el basculero.;Basculero;Entrada: peso bruto medido. Salida: registro de peso bruto asociado al vehículo.;Precondición: el vehículo se encuentra sobre la báscula. | Postcondición: el peso bruto queda almacenado en el sistema.;Must;El sistema muestra y almacena el peso bruto ingresado por el basculero para cada vehículo recibido.
R-032;Registro de proyección de recepción y procesamiento de la extractora;El sistema debe permitir registrar la proyección de toneladas que la extractora puede recibir y procesar, considerando su límite de capacidad.;Supervisor de técnicos agrícolas;Entrada: capacidad de procesamiento, proyecciones de recepción. Salida: registro de proyección de la extractora.;Precondición: se conoce el límite de capacidad de la extractora. | Postcondición: la proyección queda registrada en el sistema.;Should;El sistema almacena una proyección de recepción y procesamiento actualizable por la extractora.
R-033;Programación de visitas de campo y capacitaciones;El sistema debe permitir programar visitas de campo y capacitaciones dirigidas a los productores identificados, registrando finca, fecha, motivo y participantes, y permitir cerrarlas como realizadas.;Técnico de extractora / Productor;Entrada: productor, finca, fecha, motivo y participantes. Salida: actividad programada con su estado.;Precondición: existe un productor identificado para seguimiento. | Postcondición: la actividad queda en agenda y puede cerrarse como realizada.;Should;Programada una visita, el sistema conserva finca, fecha, motivo y participantes y permite listar por separado las actividades pendientes y las realizadas.
R-034;Registro de la calificación de calidad emitida por la extractora;El sistema debe permitir registrar los datos del ticket de pesaje emitido por la planta extractora: peso bruto, tara, peso neto y calificación de calidad (tamaño del fruto, fruta verde, sobremadura, malformada y pedúnculo largo).;Administrador general;Entrada: datos del ticket de pesaje. Salida: registro de entrega asociado al lote y a la fecha, con su calificación.;Precondición: existe un despacho registrado. | Postcondición: la calificación queda asociada al lote de origen y disponible para análisis histórico.;Should;Registrado un ticket, sus valores quedan asociados al lote de origen y son consultables en el histórico de entregas.
R-035;Protección de información personal sensible del productor;El sistema debe garantizar que la información sensible y personal del productor no sea compartida con la extractora, conforme a lo indicado por el entrevistado.;Sistema interno de la empresa;Entrada: datos del productor clasificados como sensibles. Salida: exclusión de dichos datos en cualquier reporte compartido con la extractora.;Precondición: existen datos del productor marcados como sensibles. | Postcondición: dichos datos permanecen inaccesibles para la extractora.;Must;Ningún reporte o dato compartido con la extractora contiene campos marcados como información personal sensible.
R-036;Registro de motivo de rechazo de racimos;El sistema debe permitir registrar el motivo específico por el cual un racimo es rechazado (desprendimiento insuficiente, pedúnculo largo, malformación).;Operarios de pista;Entrada: motivo de rechazo seleccionado. Salida: registro de rechazo vinculado al lote.;Precondición: el racimo no cumple los indicadores de calidad establecidos. | Postcondición: el motivo de rechazo queda documentado.;Must;Todo racimo marcado como rechazado tiene asociado un motivo de rechazo registrado en el sistema.
R-037;Registro de porcentaje de malformación;El sistema debe permitir registrar el porcentaje de malformación de un racimo y determinar automáticamente su rechazo cuando supere el 30 %.;Operarios de pista;Entrada: porcentaje de malformación estimado. Salida: decisión de aceptación o rechazo del racimo.;Precondición: el racimo presenta signos de malformación. | Postcondición: el racimo queda marcado como rechazado si supera el umbral.;Must;Todo racimo con malformación registrada superior al 30 % queda marcado como rechazado.
R-038;Histórico de producción de la finca;El sistema debe mantener un histórico de cómo evoluciona la producción de una finca, a partir de los registros de conteo de racimos y peso promedio compartidos.;Extractora;Entrada: registros históricos de conteo de racimos y peso promedio. Salida: histórico consolidado de producción por finca.;Precondición: existen registros previos de conteo y peso promedio de la finca. | Postcondición: el histórico de producción queda actualizado.;Should;El sistema permite consultar la evolución histórica de producción de una finca a lo largo del tiempo.
R-039;Calificación de madurez por frutos desprendidos según la variedad;El sistema debe calificar la madurez de la fruta descargada a partir del número de frutos desprendidos, aplicando un umbral de 3 frutos para racimos guineensis y de 5 frutos para racimos híbridos.;Operario de pista / Técnico de extractora;Entrada: variedad declarada y número de frutos desprendidos. Salida: indicador de madurez cumplido o no cumplido.;Precondición: la fruta se encuentra en la pista de descarga y la variedad está declarada. | Postcondición: la calificación de madurez queda asociada a la recepción.;Must;"Un racimo guineensis con 3 frutos desprendidos cumple el indicador y con 2 no lo cumple; un racimo híbrido con 5 frutos desprendidos lo cumple y con 4 no lo cumple."
R-040;Trazabilidad de la calificación hasta la cuadrilla responsable;El sistema debe permitir rastrear una calificación desfavorable de la extractora hasta el lote de origen, la fecha de corte y la cuadrilla de cosecha responsable, con el fin de distinguir si el problema proviene de la cosecha o del manejo del cultivo.;Técnico de la extractora / Administrador general;Entrada: identificación del despacho calificado. Salida: lote, fecha de corte, cuadrilla y labores asociadas al período.;Precondición: el despacho tiene calificación registrada y el lote tiene labores registradas. | Postcondición: se muestra la cadena completa de trazabilidad.;Should;Dado un despacho con penalización por fruta verde, el sistema identifica el lote, la fecha de corte y la cuadrilla que ejecutó la cosecha.
R-041;Registro de longitud de pedúnculo;El sistema debe permitir registrar la longitud del pedúnculo del racimo para identificar los casos que superen los 5 centímetros en su base.;Operarios de pista;Entrada: longitud del pedúnculo medida. Salida: alerta u observación cuando la longitud supera el límite.;Precondición: el racimo está siendo evaluado en pista. | Postcondición: se genera una observación si la longitud excede el límite.;Should;El sistema marca una observación cuando la longitud de pedúnculo registrada es mayor a 5 cm.
R-042;Registro de defectos de calidad en el tiquete;El sistema debe incluir en el tiquete los defectos detectados en la fruta: fruta verde, fruta sobremadura, malformada y pedúnculos largos.;Sistema interno de la empresa;Entrada: defectos registrados en pista. Salida: campo de defectos en el tiquete.;Precondición: se detectaron uno o más defectos en la fruta evaluada. | Postcondición: el tiquete refleja los defectos identificados.;Must;El tiquete muestra todos los defectos aplicables detectados durante la calificación en pista.
R-043;Emisión de tiquete de pesaje completo;El sistema debe emitir un tiquete que incluya peso bruto, peso tara, peso neto, nombre del productor, finca, transportista, placas del vehículo, y fecha y hora de ingreso.;Sistema interno de la empresa;Entrada: datos de pesaje y de procedencia del vehículo. Salida: tiquete de pesaje con todos los campos indicados.;Precondición: se completó el proceso de pesaje del vehículo. | Postcondición: el tiquete queda generado con todos los datos requeridos.;Must;Cada tiquete emitido contiene los ocho campos mencionados sin omisiones.
R-044;Entrega física del tiquete al chofer o productor;El sistema debe permitir la entrega o impresión del tiquete para el chofer o productor presente en el centro de acopio.;Sistema interno de la empresa;Entrada: tiquete generado. Salida: tiquete físico entregado al chofer o productor.;Precondición: el tiquete fue emitido. | Postcondición: el tiquete queda en poder del chofer o productor.;Must;Se genera una copia física o entregable del tiquete por cada proceso de pesaje completado.
R-045;Gestión de variedades de palma;El sistema debe registrar la variedad sembrada por lote y emplearla para parametrizar los umbrales de diagnóstico y de madurez, así como las advertencias sobre polinizadores naturales.;Administrador / Asesor técnico;Entrada: variedad asignada al lote y sus parámetros. Salida: umbrales aplicables a los módulos de diagnóstico y clasificación.;Precondición: el lote existe. | Postcondición: los módulos de IA operan con los umbrales de la variedad correspondiente.;Must;"Para un lote guineensis, el umbral de madurez aplicado es de 3 frutos desprendidos; para un lote híbrido, de 5."
R-046;Compartición de la estimación de cosecha con la planta extractora;El sistema debe permitir exportar la estimación de cosecha del período hacia la planta extractora, limitando la información compartida al conteo de racimos y al peso promedio estimado, con exclusión de cualquier dato personal o económico.;Técnico de la extractora;Entrada: período y lotes seleccionados. Salida: archivo estructurado con conteo de racimos y peso promedio estimado.;Precondición: existe una estimación calculada. | Postcondición: el archivo queda disponible para su envío, sin contener datos personales.;Should;El archivo exportado contiene conteo de racimos y peso promedio por período y no incluye campos de identificación personal ni información económica.
R-047;Observación por pedúnculo superior a 5 centímetros;El sistema debe generar una observación de calidad dirigida al productor cuando la longitud del pedúnculo medida en la base del racimo supere los 5 centímetros.;Técnico de extractora;Entrada: longitud del pedúnculo en centímetros. Salida: observación asociada a la recepción y comunicada al productor.;Precondición: existe una evaluación de calidad en curso. | Postcondición: la observación queda incorporada a la calificación de la entrega.;Should;"Con una longitud registrada de 5,5 cm el sistema genera la observación; con 5,0 cm o menos no la genera."
R-048;Registro de calificación de fruta por operarios;El sistema debe permitir a los operarios de pista registrar la calificación de la fruta descargada según los indicadores de calidad de la empresa.;Operarios de pista;Entrada: resultado de la calificación de calidad. Salida: registro de calificación asociado al vehículo/lote.;Precondición: la fruta ha sido descargada en la pista. | Postcondición: la calificación queda registrada para el lote correspondiente.;Must;El sistema almacena una calificación de calidad por cada descarga de fruta realizada en pista.
R-049;Distribución de fruta entre extractoras según capacidad;El sistema debe permitir distribuir la fruta que llega entre las diferentes extractoras de la empresa según su capacidad disponible.;Supervisor de técnicos agrícolas;Entrada: cantidad de fruta entrante, capacidad disponible por extractora. Salida: asignación de fruta a una extractora específica.;Precondición: existe más de una extractora disponible. | Postcondición: la fruta queda asignada a una extractora según su capacidad.;Could;El sistema propone o registra una extractora de destino para cada lote de fruta entrante, en función de la capacidad disponible.
R-050;Estimación y alerta preventiva de porcentaje de fruta verde;El sistema debe estimar, antes del despacho de un lote cosechado, el porcentaje de racimos clasificados como verdes, y emitir una alerta cuando dicho porcentaje se aproxime al umbral a partir del cual la planta extractora aplica penalización.;Administrador general / Técnico de la extractora;Entrada: clasificaciones de madurez del lote cosechado. Salida: porcentaje estimado de fruta verde y alerta si supera el umbral configurado.;Precondición: existen racimos clasificados en el lote. | Postcondición: la alerta queda registrada antes del despacho.;Must;Configurado un umbral de penalización, un lote cuya estimación de fruta verde alcance o supere ese valor genera una alerta previa al despacho.
