dataset,columna,tipo,unidad,rango_admisible,codificacion_perdidos,procedencia,descripcion
respuestas_anonimizadas.csv, ¿Le preocuparía que la aplicación registre por GPS su recorrido durante la jornada? ,categórica ordinal,categoría,No me preocupa | Me preocupa un poco | Me preocupa mucho,vacío = perdido,Cuestionario SIMPA,Respuesta conservada de la versión anonimizada.
respuestas_anonimizadas.csv,Comentarios:  ¿Le preocuparía que la aplicación registre por GPS su recorrido durante la jornada? ,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,"Si la aplicación fuera fácil de usar y estuviera en español, ¿la usaría en su trabajo?",categórica ordinal,categoría,Sí | Tal vez | No,vacío = perdido,Cuestionario SIMPA,Respuesta conservada de la versión anonimizada.
respuestas_anonimizadas.csv,"Comentarios: Si la aplicación fuera fácil de usar y estuviera en español, ¿la usaría en su trabajo?",texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_zenodo_agregadas.csv,pregunta_id,texto,identificador,P01-P15,vacío no permitido,Generado por preparar_dataset_zenodo_agregado.py,Identificador local de la pregunta.
respuestas_zenodo_agregadas.csv,pregunta,texto,texto,pregunta sustantiva del instrumento,vacío no permitido,Generado por preparar_dataset_zenodo_agregado.py,Texto de la pregunta.
respuestas_zenodo_agregadas.csv,tipo_respuesta,categórica nominal,categoría,simple | multiple,vacío no permitido,Generado por preparar_dataset_zenodo_agregado.py,Tipo de respuesta.
respuestas_zenodo_agregadas.csv,opcion,texto/categórica,categoría,opción observada,vacío no permitido,Generado por preparar_dataset_zenodo_agregado.py,Opción dentro de la distribución marginal.
respuestas_zenodo_agregadas.csv,frecuencia,entero,respuestas,0-62,vacío no permitido,Generado por preparar_dataset_zenodo_agregado.py,Número de respuestas que contienen la opción.
respuestas_zenodo_agregadas.csv,n_validos,entero,participantes,1-62,vacío no permitido,Generado por preparar_dataset_zenodo_agregado.py,Número de participantes con respuesta válida.
respuestas_zenodo_agregadas.csv,porcentaje,decimal,porcentaje,0-100,vacío no permitido,Generado por preparar_dataset_zenodo_agregado.py,frecuencia / n_validos × 100.
codificacion.csv,Fragmento,texto,fragmento textual,texto UTF-8 no vacío,vacío no permitido,Transcripciones anonimizadas,Fragmento utilizado en la codificación temática.
codificacion.csv,Codigo,categórica nominal,código,código temático no vacío,vacío no permitido,Codificación temática,Código asignado al fragmento.
codificacion.csv,Categoria,categórica nominal,categoría,categoría temática documentada,vacío no permitido,Codificación temática,Categoría que agrupa el código.
codificacion.csv,Requisito_derivado,texto/identificador,requisito,requisito asociado o vacío,vacío permitido solo cuando conceptualmente no aplica,Análisis de requisitos,Requisito relacionado con el fragmento.
codificacion.csv,ID_evidencia,identificador,evidencia,EV-01 | EV-02 | EV-03 | EV-04 | EV-05 | EV-06 | EV-07 | EV-08,vacío no permitido,Inventario de entrevistas,Evidencia de origen del fragmento.
codificacion.csv,Analista_codificador,identificador,analista,VER,vacío no permitido,Registro de codificación,Identificador del analista codificador.
tabla_saturacion.csv,Orden,entero,posición,1-8,vacío no permitido,Generado por curva_saturacion.py,Orden cronológico del análisis.
tabla_saturacion.csv,ID_evidencia,identificador,evidencia,EV-01 a EV-08,vacío no permitido,Generado por curva_saturacion.py,Entrevista utilizada.
tabla_saturacion.csv,Perfil,categórica nominal,perfil,perfil documentado,vacío no permitido,Generado por curva_saturacion.py,Perfil resumido de la evidencia.
tabla_saturacion.csv,Codigos_totales,entero,códigos,>= 0,vacío no permitido,Generado por curva_saturacion.py,Número total de códigos de la entrevista.
tabla_saturacion.csv,Codigos_nuevos,entero,códigos,>= 0 y <= Codigos_totales,vacío no permitido,Generado por curva_saturacion.py,Códigos no observados previamente.
tabla_saturacion.csv,Acumulado,entero,códigos únicos,>= 0,vacío no permitido,Generado por curva_saturacion.py,Número acumulado de códigos únicos.
tabla_saturacion.csv,Porcentaje_nuevos,decimal,porcentaje,0-100,vacío no permitido,Generado por curva_saturacion.py,Porcentaje de códigos nuevos.
