id_conjunto;id_origen;nombre;descripcion;actor_origen;entradas_salidas;pre_postcondiciones;prioridad;criterio_verificacion;evidencia_fuente;procedencia;nota_metodologica
H-011;EXP-02;Captura del peso bruto en la báscula de ingreso;El sistema debe registrar el peso bruto del vehículo cargado obtenido en la báscula de ingreso y asociarlo a la recepción abierta correspondiente.;Basculero · ENTR-04;Entrada: identificador de recepción y peso bruto en kilogramos. Salida: recepción con peso bruto registrado.;Pre: existe una recepción abierta sin peso bruto. Post: el peso bruto queda asociado a la recepción antes de la descarga.;Must;Registrado un peso bruto sobre una recepción abierta, el valor queda asociado a esa recepción y un segundo registro sobre la misma recepción se conserva como corrección con su valor anterior.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-012;EXP-03;Cálculo del peso neto a partir de la tara de salida;El sistema debe registrar el peso de salida del vehículo en la báscula como tara y calcular el peso neto de fruta como la diferencia entre el peso bruto y la tara.;Basculero · ENTR-04;Entrada: peso bruto registrado y peso de salida. Salida: tara y peso neto calculados.;Pre: la recepción tiene peso bruto y el vehículo retorna a báscula. Post: el peso neto queda disponible para la emisión del ticket.;Must;Con un peso bruto de 20 000 kg y un peso de salida de 7 500 kg, el sistema calcula y conserva un peso neto de 12 500 kg en la recepción.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-013;EXP-04;Calificación de madurez por frutos desprendidos según la variedad;El sistema debe calificar la madurez de la fruta descargada a partir del número de frutos desprendidos, aplicando un umbral de 3 frutos para racimos guineensis y de 5 frutos para racimos híbridos.;Operario de pista / Técnico de extractora · ENTR-04;Entrada: variedad declarada y número de frutos desprendidos. Salida: indicador de madurez cumplido o no cumplido.;Pre: la fruta se encuentra en la pista de descarga y la variedad está declarada. Post: la calificación de madurez queda asociada a la recepción.;Must;"Un racimo guineensis con 3 frutos desprendidos cumple el indicador y con 2 no lo cumple; un racimo híbrido con 5 frutos desprendidos lo cumple y con 4 no lo cumple.";ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-014;EXP-05;Observación por pedúnculo superior a 5 centímetros;El sistema debe generar una observación de calidad dirigida al productor cuando la longitud del pedúnculo medida en la base del racimo supere los 5 centímetros.;Técnico de extractora · ENTR-04;Entrada: longitud del pedúnculo en centímetros. Salida: observación asociada a la recepción y comunicada al productor.;Pre: existe una evaluación de calidad en curso. Post: la observación queda incorporada a la calificación de la entrega.;Should;"Con una longitud registrada de 5,5 cm el sistema genera la observación; con 5,0 cm o menos no la genera.";ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-015;EXP-06;Rechazo por malformación superior al 30 por ciento;El sistema debe marcar la fruta como no recibida cuando el porcentaje de malformación evaluado supere el 30 por ciento.;Técnico de extractora · ENTR-04;Entrada: porcentaje de malformación evaluado. Salida: resultado de recepción o de rechazo con su motivo.;Pre: existe una evaluación de malformación sobre la carga. Post: la regla queda aplicada y el motivo registrado.;Must;"Con un 30,5 % de malformación el sistema marca la fruta como no recibida; con 30 % o menos permite continuar la recepción.";ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-016;EXP-07;Devolución de la carga rechazada y cierre en báscula;El sistema debe registrar la devolución de la fruta rechazada en el mismo vehículo que la transportó, exigiendo el peso de salida en báscula y la emisión del tiquete correspondiente antes de cerrar la recepción.;Basculero / Técnico de extractora · ENTR-04;Entrada: recepción marcada como rechazada y peso de salida. Salida: recepción cerrada con estado devuelta y tiquete emitido.;Pre: la carga está marcada como rechazada. Post: queda registrado el cierre de la devolución con su tiquete.;Must;Una recepción rechazada no puede cerrarse mientras no se registren el peso de salida y la emisión del tiquete de devolución.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-017;EXP-08;Calificación del tamaño de la fruta;El sistema debe registrar en la calificación de la entrega una única categoría de tamaño de fruta entre grande, mediana y pequeña.;Técnico de extractora · ENTR-04;Entrada: categoría de tamaño seleccionada. Salida: calificación de la entrega con el tamaño registrado.;Pre: existe una recepción evaluada en la pista. Post: la categoría queda almacenada en la calificación de la entrega.;Should;Guardada la calificación, la entrega conserva exactamente una de las tres categorías y el sistema no admite dos categorías simultáneas.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-018;EXP-09;Registro de los indicadores de defecto de la entrega;El sistema debe registrar en la calificación de cada entrega los indicadores de fruta verde, fruta sobremadura, fruta malformada y pedúnculos largos.;Técnico de extractora · ENTR-04;Entrada: valores de los cuatro indicadores de defecto. Salida: calificación detallada asociada a la recepción.;Pre: la carga fue evaluada en la pista de descarga. Post: los cuatro indicadores quedan disponibles para el ticket y para consulta histórica.;Should;Una calificación guardada conserva los cuatro indicadores y permite recuperarlos asociados a la recepción y a su fecha.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-019;EXP-10;Emisión del ticket de pesaje;El sistema debe emitir un ticket de pesaje que contenga peso bruto, peso tara, peso neto, nombre del productor, finca, transportista, placa del vehículo, fecha y hora de ingreso y la sección de calificación de la fruta.;Basculero / Técnico de extractora · ENTR-04;Entrada: recepción con pesos completos y calificación registrada. Salida: ticket de pesaje con los nueve campos.;Pre: la recepción tiene peso neto calculado y calificación registrada. Post: el ticket queda emitido y vinculado de forma permanente a la recepción.;Must;El ticket emitido presenta los nueve campos declarados y el sistema impide emitirlo cuando falta el peso neto o la calificación.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-020;EXP-11;Entrega del ticket al productor y envío por correo;El sistema debe permitir entregar el ticket al conductor o al productor presente y enviarlo automáticamente por correo electrónico a los productores con dirección registrada, dejando constancia del resultado del envío.;Productor / Técnico de extractora · ENTR-04;Entrada: ticket emitido y correo registrado del productor. Salida: constancia de entrega y estado del envío como enviado o fallido.;Pre: el ticket está emitido. Post: queda registrada la entrega y, cuando corresponde, el estado del envío por correo.;Should;"Emitido el ticket de un productor con correo registrado, el sistema genera el envío y almacena su estado; si el productor no tiene correo registrado, conserva solo la entrega física sin generar error.";ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-021;EXP-12;Identificación anticipada de productores con recurrencia de fruta verde;El sistema debe identificar, a partir del histórico de calificaciones, los productores con mayor recurrencia de fruta verde y disponer el listado al menos un mes antes del inicio del período de baja productividad comprendido entre julio y octubre.;Técnico de extractora · ENTR-04;Entrada: histórico de calificaciones por productor y período de baja productividad configurado. Salida: listado priorizado de productores para intervención anticipada.;Pre: existen entregas calificadas de períodos anteriores. Post: el listado queda disponible con un mes de anticipación al período configurado.;Should;Configurado julio como inicio del período de baja productividad, el sistema genera durante junio el listado de productores ordenado de mayor a menor recurrencia de fruta verde.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-022;EXP-13;Programación de visitas de campo y capacitaciones;El sistema debe permitir programar visitas de campo y capacitaciones dirigidas a los productores identificados, registrando finca, fecha, motivo y participantes, y permitir cerrarlas como realizadas.;Técnico de extractora / Productor · ENTR-04;Entrada: productor, finca, fecha, motivo y participantes. Salida: actividad programada con su estado.;Pre: existe un productor identificado para seguimiento. Post: la actividad queda en agenda y puede cerrarse como realizada.;Should;Programada una visita, el sistema conserva finca, fecha, motivo y participantes y permite listar por separado las actividades pendientes y las realizadas.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-023;EXP-14;Excepción de recepción limitada al día de la capacitación;El sistema debe permitir registrar una excepción que autorice recibir fruta que no cumple los indicadores únicamente en la fecha de la capacitación y para el productor participante, y debe impedir su aplicación en fechas posteriores.;Técnico de extractora · ENTR-04;Entrada: capacitación registrada, productor participante y fecha. Salida: excepción vigente solo para esa fecha y ese productor.;Pre: existe una capacitación programada con productor asignado. Post: la excepción queda vinculada exclusivamente a la fecha declarada.;Could;Registrada una excepción para el 10 de julio, una entrega del mismo productor el 11 de julio que incumple los indicadores no recibe la excepción y se procesa como devolución.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-024;EXP-15;Proyección de recepción frente a la capacidad de las extractoras;El sistema debe consolidar las estimaciones de cosecha informadas por las fincas para un período y compararlas con la capacidad de procesamiento declarada de cada extractora, señalando el excedente y permitiendo redistribuirlo entre las plantas con capacidad disponible.;Administración de extractora · ENTR-04;Entrada: estimaciones por finca del período y capacidad de procesamiento por planta. Salida: proyección de recepción, excedente identificado y propuesta de distribución.;Pre: existen estimaciones del período y capacidades registradas por planta. Post: queda registrada la asignación de fruta por planta.;Should;Si la proyección de una planta supera su capacidad configurada, el sistema muestra el excedente en toneladas y permite reasignarlo a otra planta cuya capacidad restante lo admita.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
H-025;EXP-16;Histórico de producción por finca;El sistema debe mantener un histórico por finca con el conteo de racimos y el peso promedio informados y con el peso neto efectivamente recibido, de modo que pueda observarse la evolución de la producción entre períodos sin incorporar datos personales del productor.;Técnico de extractora / Administración · ENTR-04;Entrada: estimaciones informadas por la finca y pesos netos de las entregas del período. Salida: serie histórica por finca con la variación entre períodos.;Pre: la finca tiene al menos dos períodos con datos registrados. Post: la serie queda disponible para consulta y no contiene datos personales.;Could;Con dos períodos registrados, el sistema muestra para la finca el conteo de racimos, el peso promedio y el peso neto de cada período y la variación entre ambos, sin campos de identificación personal.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
